Unique ID	Title	Description	Category	Product URL	Image URL	Condition	Availability	Current Price	Item Group ID	Brand	GTIN	MPN	Gender	Age Group	Size	Color	Material	Pattern	Additional Image URL	Original Price	ASIN	Ship Cost	Ship Weight	Bid	Promo Text
59r5226	Lancome TRESOR Midnight Rose For WOMEN By LANCOME 2.5 oz EDP Spray	Lancome TRESOR Midnight Rose For WOMEN By LANCOME 2.5 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/lancome-tresor-midnight-rose-for-women-by-lancome-2-5-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/925/1435/Lancome_TRESOR_Midnight_Rose__86563.1594771582.jpg?c=1	New	No	62.99		Lancome															
64	Lancome La vie est belle Eau de Parfum 2.5 oz Spray	Lancôme La vie est belle Eau de Parfum 2.5 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/lancome-la-vie-est-belle-eau-de-parfum-2-5-oz-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/928/1439/Lancme_La_vie_est_belle__49372.1594771711.jpg?c=1	New	In Stock	64.99		Lancome															
231r50	Lancome MIRACLE For WOMEN By LANCOME 3.4 oz EDP Spray	Lancome MIRACLE For WOMEN By LANCOME 3.4 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/lancome-miracle-for-women-by-lancome-3-4-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/912/1413/Lancome_MIRACLE__72121.1594759195.jpg?c=1	New	No	59.99		Lancome															
ner5200	Lancome Magnifique Perfume For Women 2.5 oz EDP Spray	Lancome Magnifique Perfume For Women 2.5 oz eau de parfum	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/lancome-magnifique-perfume-for-women-2-5-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/932/1447/Lancome_Magnifique__54450.1594772029.jpg?c=1	New	No	59.99		Lancome															
 69r45588	MARC JACOBS DAISY for Women 3.4 oz Spray	MARC JACOBS DAISY for Women 3.4 oz Eau de toilette Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/marc-jacobs-daisy-for-women-3-4-oz-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/957/1491/MARC_JACOBS_DAISY__41286.1594849473.jpg?c=1	New	In Stock	64.99		MARC JACOBS															
mr5409	MARC JACOBS Daisy Eau So Fresh for Women 4.2 oz Spray	MARC JACOBS Daisy Eau So Fresh for Women 4.2 oz Eau de toilette Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/marc-jacobs-daisy-eau-so-fresh-for-women-4-2-oz-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/959/1495/MARC_JACOBS_Daisy_Eau_So_Fresh__40076.1594849624.jpg?c=1	New	In Stock	58.99		MARC JACOBS															
74r5469	MARC JACOBS DAISY Dream for Women 3.4 oz Edt Spray	MARC JACOBS DAISY Dream for Women 3.4 oz Eau de toilette Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/marc-jacobs-daisy-dream-for-women-3-4-oz-edt-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/967/1510/MARC_JACOBS_DAISY_Dream__09972.1594850336.jpg?c=1	New	In Stock	44.99		MARC JACOBS															
2743	MARC JACOBS DAISY Eau So Sweet 3.3 oz Edt Spray	MARC JACOBS DAISY Love Eau So Sweet for Women 3.4 oz Eau de toilette Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/marc-jacobs-daisy-eau-so-sweet-3-3-oz-edt-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/971/1517/MARC_JACOBS_DAISY_Love_Eau_So_Sweet__74488.1594850642.jpg?c=1	New	In Stock	44.99		MARC JACOBS															
68r5489	MARC JACOBS LOLA for Women 3.4 oz Edp Spray	MARC JACOBS LOLA for Women 3.4 oz Eau De Parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/marc-jacobs-lola-for-women-3-4-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/947/1475/MARC_JACOBS_LOLA_3.4__23047.1594848708.jpg?c=1	New	No	79.99		MARC JACOBS															
mkvhr56bt	Michael Kors Very Hollywood Perfume for Women 3.4 oz EDP Spray	Michael Kors Very Hollywood Perfume for Women 3.4 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/michael-kors-perfume-for-women-3-4-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/973/1523/MICHAEL_KORS_Perfume__15331.1594862810.jpg?c=1	New	In Stock	59.99		Michael Kors															
84R5817b	Narciso Rodriguez for her 3.3 oz Edp spray	Narciso Rodriguez for her 3.3 oz Eau de parfum spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/narciso-rodriguez-for-her-3-3-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/1009/1585/Narciso_Rodriguez_for_her_EDP__94884.1594865578.png?c=1	New	In Stock	64.99		Narciso Rodriguez															
857r4986b	Paco Rabanne Lady Million Perfume 2.7 oz EDP Spray	Paco Rabanne Lady Million Perfume 2.7 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/paco-rabanne-lady-million-perfume-2-7-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/1034/1630/Paco_Rabanne_Lady_Million__55051.1594932670.jpg?c=1	New	In Stock	59.99		Paco Rabanne															
